Importing country,Category,Value of the trade flow (thousands current USD),Quantity (in metric tons),$ Pct of Pacific,T Pct of Pacific,$ per t
Croatia,Seafood products,189.595,51.098,0.02,0.01,3710.42
Malta,Seafood products,127.865,34.266,0.01,0.01,3731.54
Luxembourg,Seafood products,185.78300000000002,34.168,0.02,0.01,5437.34
Canada,Seafood products,222.26099999999997,27.80799999999999,0.02,0.01,7992.7
Turkey,Seafood products,112.882,22.099,0.01,0.0,5108.01
Switzerland,Seafood products,122.903,19.657,0.01,0.0,6252.38
Marshall Isds,Seafood products,83.736,17.76,0.01,0.0,4714.86
Cyprus,Seafood products,74.385,17.214000000000002,0.01,0.0,4321.19
Slovenia,Seafood products,61.711,17.084,0.01,0.0,3612.21
Latvia,Seafood products,74.512,16.89,0.01,0.0,4411.6
Lithuania,Seafood products,58.859,15.868,0.0,0.0,3709.29
Niue,Seafood products,53.26499999999999,13.656,0.0,0.0,3900.48
Nauru,Seafood products,51.53,13.098999999999998,0.0,0.0,3933.89
Czechia,Seafood products,38.393,12.022,0.0,0.0,3193.56
Bermuda,Seafood products,104.265,11.476,0.01,0.0,9085.48
Timor-Leste,Seafood products,37.095,9.9,0.0,0.0,3746.97
Wallis and Futuna Isds,Seafood products,15.359,5.314,0.0,0.0,2890.29
Namibia,Seafood products,5.23,5.15,0.0,0.0,1015.53
Cook Isds,Seafood products,16.06,3.7030000000000003,0.0,0.0,4337.02
Israel,Seafood products,17.781,3.673,0.0,0.0,4841.0
Brazil,Seafood products,21.612,1.755,0.0,0.0,12314.53
Kuwait,Seafood products,16.981,1.744,0.0,0.0,9736.81
Armenia,Seafood products,1.694,0.9500000000000001,0.0,0.0,1783.16
Iceland,Seafood products,4.073,0.745,0.0,0.0,5467.11
"China, Macao SAR",Seafood products,8.529,0.671,0.0,0.0,12710.88
United Arab Emirates,Seafood products,7.063,0.54,0.0,0.0,13079.63
Honduras,Seafood products,3.046,0.321,0.0,0.0,9489.1
Zambia,Seafood products,2.699,0.265,0.0,0.0,10184.91
Colombia,Seafood products,2.078,0.24,0.0,0.0,8658.33
Azerbaijan,Seafood products,1.634,0.2,0.0,0.0,8170.0
Argentina,Seafood products,7.195,0.022,0.0,0.0,327045.45
Russian Federation,Seafood products,0.938,0.009,0.0,0.0,104222.22
Hungary,Seafood products,0.038,0.002,0.0,0.0,19000.0
Pacific total,Seafood products,1226716.7060000002,529708.5139999999,100.0,100.0,2315.83
